Ticker,Status Akuisisi
BBSI,TIDAK ADA
BBSS,TIDAK ADA
BCAP,TIDAK ADA
BEBS,TIDAK ADA
BELI,TIDAK ADA
BESS,TIDAK ADA
BHAT,TIDAK ADA
BIKA,TIDAK ADA
BIKE,TIDAK ADA
BIMA,TIDAK ADA
BINA,TIDAK ADA
BIRD,TIDAK ADA
BISI,TIDAK ADA
BKDP,TIDAK ADA
BLOG,TIDAK ADA
BLTZ,TIDAK ADA
BLUE,TIDAK ADA
BMSR,TIDAK ADA
BNBA,TIDAK ADA
BNII,TIDAK ADA
BNLI,TIDAK ADA
BOGA,TIDAK ADA
BOLT,TIDAK ADA
BOSS,TIDAK ADA
BPFI,TIDAK ADA
BPII,TIDAK ADA
BPTR,TIDAK ADA
BRAM,TIDAK ADA
BRNA,TIDAK ADA
BSIM,TIDAK ADA
BSSR,TIDAK ADA
BSWD,TIDAK ADA
BTEL,TIDAK ADA
BTPN,TIDAK ADA
BUAH,TIDAK ADA
BUKK,TIDAK ADA
BYAN,TIDAK ADA
CARE,TIDAK ADA
CASA,TIDAK ADA
CASS,TIDAK ADA
CBMF,TIDAK ADA
CBPE,TIDAK ADA
CBUT,TIDAK ADA
CCSI,TIDAK ADA
CEKA,TIDAK ADA
CHIP,TIDAK ADA
CITA,TIDAK ADA
CLAY,TIDAK ADA
CLPI,TIDAK ADA
CMNP,TIDAK ADA
CNKO,TIDAK ADA
CNTX,TIDAK ADA
COAL,TIDAK ADA
COWL,TIDAK ADA
CPRI,TIDAK ADA
CRAB,TIDAK ADA
CSRA,TIDAK ADA
CTBN,TIDAK ADA
DAAZ,TIDAK ADA
DADA,TIDAK ADA
DAYA,TIDAK ADA
DCII,TIDAK ADA
DEAL,TIDAK ADA
DEPO,TIDAK ADA
DGNS,TIDAK ADA
DIGI,TIDAK ADA
DMND,TIDAK ADA
DNAR,TIDAK ADA
DNET,TIDAK ADA
DOSS,TIDAK ADA
DPNS,TIDAK ADA
DRMA,TIDAK ADA
DUCK,TIDAK ADA
DUTI,TIDAK ADA
DVLA,TIDAK ADA
DWGL,TIDAK ADA
EAST,TIDAK ADA
EDGE,TIDAK ADA
ENAK,TIDAK ADA
ENVY,TIDAK ADA
EPMT,TIDAK ADA
ETWA,TIDAK ADA
EURO,TIDAK ADA
FAPA,TIDAK ADA
FASW,TIDAK ADA
FIMP,TIDAK ADA
